Manufacturer,Model,City,Fueltype,kms,color,pwr_steering,man_year,price
Honda, City 1.5 E MT ,New Delhi,Petrol,"56,000 KM",White,Yes,2011,"4,00,000"
BMW, 6 Series 640d Gran Coupe ,New Delhi,Diesel,"11,000 KM",White,Yes,2015,"75,00,000"
Audi, R8 V 10 Plus ,New Delhi,Petrol,"21,000 KM",Blue,Yes,2011,"79,00,000"
Jaguar, XF Diesel Luxury 2.2 ,New Delhi,Diesel,"26,000 KM",White,Yes,2014,"31,75,000"
Honda, City 1.5 V MT ,New Delhi,Petrol,"43,000 KM",White,Yes,2015,"7,25,000"
Mahindra, XUV500 W6 4 X 2 ,New Delhi,Diesel,"23,000 KM",Silver,Yes,2016,"10,75,000"
Maruti Suzuki, Baleno Zeta Petrol ,New Delhi,Petrol,"30,000 KM",Blue,Yes,2016,"6,35,000"
Honda, Accord 2011 2.4 MT ,New Delhi,Petrol,"55,000 KM",Gold,Yes,2011,"5,15,000"
BMW, 3 Series 320d Highline Sedan ,New Delhi,Diesel,"42,000 KM",Blue,Yes,2010,"8,90,000"
Hyundai, Elite i20 1.4 U2 CRDI Asta Diesel ,New Delhi,Diesel,"24,532 KM",White,Yes,2016,"7,25,001"
Maruti Suzuki, Vitara Brezza VDI (O) ,New Delhi,Diesel,"40,000 KM",White,Yes,2016,"7,39,000"
Maruti Suzuki, Baleno Alpha Petrol ,New Delhi,Petrol,"20,000 KM",White,Yes,2016,"6,85,000"
Honda, City SV 1.5L i-VTEC ,New Delhi,Petrol,"26,000 KM",Grey,Yes,2016,"8,25,000"
Audi, A6 2.0 TDI Premium ,New Delhi,Diesel,"50,000 KM",Brown,Yes,2014,"23,00,000"
Mercedes Benz, E Class E 350 CDI Edition E ,New Delhi,Diesel,"38,000 KM",Brown,Yes,2015,"36,00,000"
BMW, 5 Series 520d M Sport ,New Delhi,Diesel,"23,000 KM",White,Yes,2016,"33,51,000"
Audi, Q5 2.0 TFSI quattro Premium Plus ,New Delhi,Petrol,"45,000 KM",Silver,Yes,2010,"13,50,000"
Hyundai, Elite i20 1.4 U2 CRDI Sportz Diesel ,New Delhi,Diesel,"31,000 KM",White,Yes,2015,"6,25,000"
Toyota, Fortuner 3.0 MT ,New Delhi,Diesel,"69,000 KM",White,Yes,2011,"11,90,000"
Jaguar, XF 2.2 Diesel ,New Delhi,Diesel,"64,000 KM",Black,Yes,2013,"25,50,000"
Mitsubishi, Pajero SFX 2.8 ,New Delhi,Diesel,"69,000 KM",Red,Yes,2010,"9,90,000"
Maruti Suzuki, Swift Dzire VXi ,New Delhi,Petrol,"95,000 KM",Silver,Yes,2009,"2,30,000"
Volkswagen, Vento 1.6L MT Comfortline Petrol ,New Delhi,Petrol,"55,000 KM",White,Yes,2012,"3,00,000"
Land Rover, Range Rover Evoque Pure SD4 ,New Delhi,Diesel,"92,000 KM",White,Yes,2014,"28,75,000"
Jaguar, XF 2.2 Diesel ,New Delhi,Diesel,"75,000 KM",Blue,Yes,2013,"21,00,000"
Maruti Suzuki, Ertiga VDI BS IV ,New Delhi,Diesel,"56,000 KM",White,Yes,2014,"6,10,000"
Toyota, Fortuner 3.0 4X2 AT ,New Delhi,Diesel,"25,000 KM",White,Yes,2015,"22,41,000"
Chevrolet, Beat LS Diesel ,New Delhi,Diesel,"70,000 KM",White,Yes,2012,"1,95,000"
BMW, X5 xDrive30d Pure Experience (5 Seater) ,New Delhi,Diesel,"30,000 KM",Black,Yes,2017,"58,50,000"
Toyota, Etios G ,New Delhi,Petrol,"49,000 KM",White,Yes,2011,"3,00,000"
BMW, X6 xDrive 30d ,New Delhi,Diesel,"89,001 KM",Black,Yes,2012,"28,00,000"
Toyota, Fortuner 3.0 4X2 MT ,New Delhi,Diesel,"86,000 KM",White,Yes,2014,"18,50,000"
BMW, 3 Series 320d Prestige ,New Delhi,Diesel,"61,000 KM",White,Yes,2013,"16,50,000"
Toyota, Etios G ,New Delhi,Petrol,"49,855 KM",Sky Blue,Yes,2011,"2,35,000"
Volkswagen, Polo Comfortline 1.2L (D) ,New Delhi,Diesel,"46,245 KM",White,Yes,2012,"2,65,000"
Tata, Indica V2 Xeta GLS BS IV ,New Delhi,Petrol,"18,099 KM",Purple,Yes,2008,"1,05,000"
Force Motors, Force One SX 6+D ,New Delhi,Diesel,"39,923 KM",Black,Yes,2012,"3,50,000"
Honda, City 1.5 V MT ,New Delhi,Petrol,"48,000 KM",Brown,Yes,2012,"4,45,000"
Fiat, Linea Dynamic Diesel ,New Delhi,Diesel,"40,000 KM",Grey,Yes,2015,"5,90,000"
Fiat, Linea Emotion Diesel ,New Delhi,Diesel,"55,000 KM",Grey,Yes,2015,"5,90,000"
Mahindra, Scorpio VLX 4WD BS IV ,New Delhi,Diesel,"68,000 KM",Brown,Yes,2010,"5,25,000"
Maruti Suzuki, Zen Estilo VXi ,New Delhi,Petrol,"56,000 KM",Beize,Yes,2007,"1,20,000"
BMW, X1 sDrive20d(H) ,New Delhi,Diesel,"69,000 KM",Black,Yes,2011,"11,00,000"
BMW, 5 Series 530d Sedan 3.0 ,New Delhi,Diesel,"61,000 KM",White,Yes,2011,"16,00,000"
Land Rover, Range Rover Evoque Pure SD4 ,New Delhi,Diesel,"79,000 KM",White,Yes,2014,"27,95,000"
Audi, A4 2.0 TDI Sline ,New Delhi,Diesel,"65,000 KM",Brown,Yes,2010,"9,90,000"
Ford, Fiesta 1.5 TiVCT Ambiente Petrol ,New Delhi,Petrol,"45,000 KM",Red,Yes,2013,"2,25,000"
BMW, 5 Series 520d Sedan 2.0 ,New Delhi,Diesel,"43,000 KM",Blue,Yes,2015,"28,50,000"
Toyota, Fortuner 3.0 4X2 MT ,New Delhi,Diesel,"52,000 KM",White,Yes,2014,"16,00,000"
Honda, Civic 1.8S MT ,New Delhi,Petrol,"51,000 KM",Grey,Yes,2009,"2,95,000"
Mahindra, Scorpio VLX BS IV ,New Delhi,Diesel,"61,000 KM",White,Yes,2013,"6,50,000"
Maruti Suzuki, Baleno Alpha Diesel ,New Delhi,Diesel,"18,000 KM",Grey,Yes,2017,"7,90,000"
BMW, X3 2011 xDrive20d ,New Delhi,Diesel,"68,000 KM",Silver,Yes,2011,"16,00,000"
Maruti Suzuki, Swift VDi ABS ,New Delhi,Diesel,"60,000 KM",White,Yes,2015,"4,30,000"
Toyota, Camry Hybrid ,New Delhi,Electric,"50,000 KM",Grey,Yes,2014,"19,90,000"
Maruti Suzuki, Swift Dzire ZXi ,New Delhi,Petrol,"70,000 KM",Silver,Yes,2010,"2,75,000"
Audi, A4 2.0 TDI Technology Pack ,New Delhi,Diesel,"13,000 KM",White,Yes,2015,"25,00,000"
Maruti Suzuki, Ertiga VDI BS IV ,New Delhi,Diesel,"72,000 KM",Grey,Yes,2012,"5,45,000"
Maruti Suzuki, Ritz Vxi BS IV ,New Delhi,Petrol,"40,000 KM",Blue,Yes,2013,"3,20,000"
Maruti Suzuki, Zen Estilo VXi ,New Delhi,Petrol,"50,000 KM",Beize,Yes,2009,"1,65,000"
Mercedes Benz, E Class E250 CDI Avantgarde ,New Delhi,Diesel,"12,000 KM",White,Yes,2016,"37,50,000"
Mahindra, XUV500 W10 AWD AT ,New Delhi,Diesel,"10,000 KM",White,Yes,2018,"17,75,000"
Honda, Brio S MT ,New Delhi,Petrol,"29,000 KM",Brown,Yes,2013,"3,40,000"
Maruti Suzuki, Wagon R VXI ,New Delhi,Petrol,"89,000 KM",Silver,Yes,2005,"80,000"
Volkswagen, Polo GT TSI ,New Delhi,Petrol,"43,000 KM",White,Yes,2013,"5,50,000"
Maruti Suzuki, Swift Dzire VDi ,New Delhi,Diesel,"94,000 KM",Silver,Yes,2010,"2,90,000"
Audi, A4 2.0 TDI Sline ,New Delhi,Diesel,"30,000 KM",White,Yes,2011,"14,00,000"
Maruti Suzuki, Ignis Zeta 1.2 AT ,New Delhi,Petrol+Cng,"36,000 KM",Orange,Yes,2017,"5,50,000"
Mahindra, Thar CRDe 4x4 AC ,New Delhi,Diesel,"69,000 KM",White,Yes,2012,"4,90,000"
Toyota, Innova 2.5 G (Diesel) 7 STR Euro4 ,New Delhi,Diesel,"75,000 KM",Grey,Yes,2013,"8,90,000"
Chevrolet, Sail U VA LS Diesel ,New Delhi,Diesel,"60,000 KM",White,Yes,2014,"2,95,000"
Honda, City Anniversary Edition Diesel ,New Delhi,Diesel,"27,000 KM",Brown,Yes,2017,"10,60,000"
Volkswagen, Vento 1.6L AT Highline Diesel ,New Delhi,Diesel,"68,000 KM",White,Yes,2015,"7,50,000"
Volkswagen, Vento Comfortline AT Petrol ,New Delhi,Petrol,"71,000 KM",White,Yes,2015,"7,55,000"
Maruti Suzuki, Swift VDi ABS ,New Delhi,Diesel,"19,000 KM",Grey,Yes,2017,"6,40,000"
Mahindra, XUV500 W8 4 X 2 ,New Delhi,Diesel,"28,000 KM",Silver,Yes,2015,"10,75,000"
Mercedes Benz, C Class C 220 CDI BlueEFFICIENCY ,New Delhi,Diesel,"54,000 KM",White,Yes,2011,"10,95,000"
Maruti Suzuki, Ciaz ZDi SHVS ,New Delhi,Diesel,"49,000 KM",Silver,Yes,2015,"7,25,000"
Volkswagen, Polo Trendline 1.2L (D) ,New Delhi,Diesel,"55,000 KM",White,Yes,2012,"3,45,000"
Volkswagen, Vento 1.5 TDI Highline AT ,New Delhi,Diesel,"71,000 KM",Silver,Yes,2015,"7,65,000"
Maruti Suzuki, Alto 800 LXI ,New Delhi,Petrol,"44,000 KM",White,Yes,2014,"2,35,000"
Honda, Amaze S MT Petrol ,New Delhi,Petrol,"51,000 KM",Red,Yes,2014,"4,25,000"
Toyota, Corolla Altis 1.8G L ,New Delhi,Petrol,"62,000 KM",Gold,Yes,2010,"4,50,000"
Ford, Endeavour Titanium 3.2 4x4 AT ,New Delhi,Diesel,"23,000 KM",Silver,Yes,2017,"31,00,000"
Maruti Suzuki, Ciaz AT ZXi+(AUTOMATIC) ,New Delhi,Petrol,"39,000 KM",White,Yes,2015,"7,65,000"
Honda, City 1.5 V AT ,New Delhi,Petrol,"2,500 KM",Red,Yes,2018,"11,85,000"
Mercedes Benz, C Class 200 CGI Elegance ,New Delhi,Petrol,"57,000 KM",White,Yes,2014,"15,90,000"
Land Rover, Range Rover Evoque 2.2 SD4 HSE ,New Delhi,Diesel,"2,800 KM",Blue,Yes,2017,"54,50,000"
Maruti Suzuki, Swift VDi ABS ,New Delhi,Diesel,"34,000 KM",Red,Yes,2014,"4,50,000"
Jeep, Compass Limited (O) 1.4 Petrol AT ,New Delhi,Petrol,"7,200 KM",White,Yes,2017,"18,75,000"
Honda, Jazz VX 1.2L i-VTEC ,New Delhi,Petrol,"12,210 KM",Brown,Yes,2016,"6,00,001"
Hyundai, Creta 1.6 SX Plus AT Petrol ,New Delhi,Petrol,"15,400 KM",Black,Yes,2017,"12,75,000"
Hyundai, Verna Fluidic 1.6 CRDI SX ,New Delhi,Diesel,"68,000 KM",White,Yes,2013,"6,00,000"
Toyota, Etios Liva G ,New Delhi,Petrol,"58,000 KM",Blue,Yes,2012,"2,85,000"
Honda, City NEW S AT ,New Delhi,Petrol,"68,000 KM",Red,Yes,2013,"5,25,000"
Honda, Civic 1.8V MT ,New Delhi,Petrol,"68,000 KM",Grey,Yes,2008,"2,60,000"
Toyota, Fortuner 3.0 (Limited Edition) ,New Delhi,Diesel,"90,000 KM",Black,Yes,2010,"12,25,000"
Honda, Amaze VX(O) MT Petrol ,New Delhi,Petrol,"35,000 KM",Brown,Yes,2015,"5,15,000"
BMW, X1 sDrive20d(H) ,New Delhi,Diesel,"75,000 KM",White,Yes,2012,"11,99,000"
Audi, A6 35 TDI Technology Pack ,New Delhi,Diesel,"35,000 KM",White,Yes,2015,"29,00,000"
Hyundai, Neo Fluidic Elantra 1.8 SX MT VTVT ,New Delhi,Petrol,"33,000 KM",Silver,Yes,2013,"7,50,000"
Hyundai, Grand i10 Asta(O) 1.2 VTVT Kappa Petrol ,New Delhi,Petrol,"12,000 KM",White,Yes,2016,"4,95,000"
Mercedes Benz, C Class C 220 CDI BlueEFFICIENCY ,New Delhi,Diesel,"27,000 KM",Black,Yes,2011,"10,75,000"
Hyundai, Grand i10 Magna 1.2 VTVT Kappa Petrol ,New Delhi,Petrol,"55,000 KM",Silver,Yes,2015,"3,90,000"
Mercedes Benz, GLA Class 200 d Sport ,New Delhi,Diesel,"3,000 KM",White,Yes,2018,"28,50,000"
Honda, Jazz V 1.2L i-VTEC CVT ,New Delhi,Petrol,"15,000 KM",Orange,Yes,2016,"6,90,000"
Mahindra, XUV500 W6 4 X 2 ,New Delhi,Diesel,"22,000 KM",Silver,Yes,2015,"10,25,000"
Audi, Q5 2.0 TFSI quattro Premium Plus ,New Delhi,Petrol,"65,000 KM",White,Yes,2010,"14,00,000"
Audi, Q5 2.0 TDI Quattro Premium+ ,New Delhi,Diesel,"89,000 KM",Black,Yes,2014,"23,00,000"
Hyundai, i10 Magna 1.2 Kappa2 ,New Delhi,Petrol,"44,000 KM",Orange,Yes,2011,"2,40,000"
Mahindra, Scorpio SLE BS IV ,New Delhi,Diesel,"72,200 KM",White,Yes,2012,"5,54,000"
Mercedes Benz, E Class E250 CDI Avantgarde ,New Delhi,Diesel,"28,000 KM",Grey,Yes,2015,"32,00,000"
Mahindra, XUV500 W10 AWD ,New Delhi,Diesel,"65,000 KM",Black,Yes,2016,"13,45,000"
BMW, 5 Series 520d Sedan Modern Line ,New Delhi,Diesel,"66,000 KM",Silver,Yes,2012,"17,45,000"
Land Rover, Freelander 2 SE ,New Delhi,Diesel,"74,000 KM",Red,Yes,2013,"18,00,000"
Toyota, Innova Crysta 2.8 GX AT 7 Str ,New Delhi,Diesel,"23,000 KM",Grey,Yes,2017,"22,00,000"
Toyota, Platinum Etios VXD ,New Delhi,Diesel,"20,000 KM",White,Yes,2016,"6,95,000"
Hyundai, Verna Fluidic 1.6 CRDI SX Opt ,New Delhi,Diesel,"72,727 KM",White,Yes,2012,"5,56,000"
Mahindra, XUV500 W8 4 X 2 ,New Delhi,Diesel,"76,000 KM",White,Yes,2012,"6,55,000"
Maruti Suzuki, Swift LDi ,New Delhi,Diesel,"51,000 KM",White,Yes,2014,"4,00,000"
Honda, CR V 2.4 AT ,New Delhi,Petrol,"90,000 KM",Silver,Yes,2014,"14,50,000"
BMW, 7 Series 730Ld Sedan ,New Delhi,Diesel,"60,000 KM",Silver,Yes,2010,"22,00,000"
Mercedes Benz, S Class S 350 CDI ,New Delhi,Diesel,"75,000 KM",White,Yes,2014,"58,00,000"
Mercedes Benz, M Class ML 250 ,New Delhi,Diesel,"25,000 KM",White,Yes,2015,"38,90,000"
Audi, Q7 3.0 TDI quattro Premium ,New Delhi,Diesel,"90,000 KM",White,Yes,2013,"26,90,000"
Hummer, H3 Base ,New Delhi,Petrol,"55,000 KM",Yellow,Yes,2010,"69,00,000"
Ford, Endeavour 2.5L 4x2 ,New Delhi,Diesel,"1,95,000 KM",Black,Yes,2010,"4,90,000"
Audi, Q7 4.2 TDI quattro ,New Delhi,Diesel,"40,000 KM",Blue,Yes,2015,"40,90,000"
Volkswagen, Phaeton 3.6 V6 ,New Delhi,Petrol,"53,000 KM",White,Yes,2011,"17,50,000"
Tata, Safari 4x2 LX DICOR BS IV ,New Delhi,Diesel,"65,000 KM",Black,Yes,2012,"4,25,000"
Honda, City 2014 V 1.5L i-VTEC ,New Delhi,Petrol,"48,000 KM",Goldern Bronze,Yes,2015,"6,90,000"
Hyundai, Elite i20 1.2 Kappa VTVT Sportz Petrol ,New Delhi,Petrol,"14,000 KM",White,Yes,2014,"5,35,000"
Hyundai, Creta SX+ 1.6 CRDI VGT ,New Delhi,Diesel,"55,000 KM",Grey,Yes,2015,"9,00,000"
Toyota, Innova 2.5 VX (Diesel) 7 STR Euro4 ,New Delhi,Diesel,"69,000 KM",Grey,Yes,2013,"8,25,000"
Mercedes Benz, E Class E350 CDI BlueEFFICIENCY ,New Delhi,Diesel,"37,500 KM",Grey,Yes,2012,"19,25,000"
Toyota, Innova Crysta Touring Sport Diesel MT ,New Delhi,Diesel,"29,000 KM",Red,Yes,2017,"21,00,000"
Skoda, Rapid Style 1.5 TDI AT ,New Delhi,Diesel,"93,000 KM",White,Yes,2015,"5,50,000"
Hyundai, i20 Sportz 1.2 BS IV ,New Delhi,Petrol,"27,000 KM",White,Yes,2013,"4,25,000"
Mercedes Benz, C Class 200 K Elegance AT ,New Delhi,Petrol,"75,000 KM",White,Yes,2009,"7,99,000"
Honda, Brio S MT ,New Delhi,Petrol,"36,000 KM",White,Yes,2014,"3,35,000"
Mini, Cooper 1.6 ,New Delhi,Petrol,"37,000 KM",Blue,Yes,2012,"19,50,000"
Honda, City 1.5 V MT Sunroof ,New Delhi,Petrol,"41,000 KM",White,Yes,2016,"9,11,000"
Maruti Suzuki, Swift Old GLAM ,New Delhi,Petrol,"65,000 KM",White,Yes,2009,"2,40,000"
Ssangyong, Rexton RX7 AT ,New Delhi,Diesel,"68,000 KM",Purple,Yes,2013,"10,90,000"
Mercedes Benz, G Class 55 AMG Grand Edition ,New Delhi,Petrol,"18,000 KM",White,Yes,2011,"79,00,000"
Honda, City NEW V AT ,New Delhi,Petrol,"59,500 KM",White,Yes,2011,"4,45,000"
Honda, Amaze S MT Diesel ,New Delhi,Diesel,"29,000 KM",Red,Yes,2015,"5,50,000"
Hyundai, Verna Fluidic 1.6 CRDI SX ,New Delhi,Diesel,"54,000 KM",Silver,Yes,2014,"6,45,000"
Hyundai, Neo Fluidic Elantra 1.8 S VTVT ,New Delhi,Petrol,"63,000 KM",Silver,Yes,2013,"6,75,000"
Maruti Suzuki, Vitara Brezza ZDI Plus ,New Delhi,Diesel,"38,000 KM",White,Yes,2016,"8,95,000"
Fiat, Linea Elegante Diesel ,New Delhi,Diesel,"29,000 KM",Grey,Yes,2015,"5,90,000"
Hyundai, Verna Fluidic 1.6 VTVT ,New Delhi,Petrol,"55,000 KM",White,Yes,2013,"5,50,000"
Honda, BR-V VX (Diesel) ,New Delhi,Diesel,"30,000 KM",Silver,Yes,2016,"10,25,000"
Ford, Endeavour Titanium 3.2 4x4 AT ,New Delhi,Diesel,"17,000 KM",White,Yes,2017,"31,00,000"
Audi, A4 2.0 TDI Sline ,New Delhi,Diesel,"47,000 KM",White,Yes,2012,"14,50,000"
Maruti Suzuki, Ertiga VDI BS IV ,New Delhi,Diesel,"53,000 KM",Grey,Yes,2015,"6,50,000"
Mahindra, Scorpio SLE BS III ,New Delhi,Diesel,"75,292 KM",Black,Yes,2010,"4,75,000"
Honda, City SV 1.5L i-VTEC ,New Delhi,Petrol,"8,000 KM",Grey,Yes,2017,"9,25,000"
Toyota, Innova 2.5 G4 7 STR ,New Delhi,Diesel,"70,000 KM",Grey,Yes,2012,"7,99,000"
Hyundai, Creta 1.6 SX Plus Petrol ,New Delhi,Petrol,"55,000 KM",White,Yes,2015,"9,50,000"
Maruti Suzuki, Baleno Zeta Petrol ,New Delhi,Petrol,"22,000 KM",Blue,Yes,2017,"6,70,000"
Hyundai, Verna Fluidic 1.6 CRDI SX Opt ,New Delhi,Diesel,"58,000 KM",White,Yes,2011,"4,45,000"
Hyundai, Elite i20 1.4 U2 CRDI Sportz Diesel ,New Delhi,Diesel,"74,000 KM",White,Yes,2014,"5,50,000"
Jaguar, XJ L 3.0 V6 Premium Luxury ,New Delhi,Diesel,"10,000 KM",Black,Yes,2016,"85,00,000"
Honda, City 1.5 V MT ,New Delhi,Petrol,"91,000 KM",Gold,Yes,2010,"3,75,000"
Honda, City NEW S AT ,New Delhi,Petrol,"47,000 KM",White,Yes,2013,"6,00,000"
Mercedes Benz, C Class 220 CDI Avantgarde ,New Delhi,Diesel,"30,000 KM",Black,Yes,2015,"32,00,000"
BMW, X1 sDrive20d Sport Line ,New Delhi,Diesel,"70,000 KM",Black,Yes,2013,"18,25,000"
Honda, Brio S MT ,New Delhi,Petrol,"21,206 KM",Blue,Yes,2014,"3,60,001"
Volkswagen, Ameo Comfortline 1.5L (D) ,New Delhi,Diesel,"41,727 KM",White,Yes,2016,"4,75,000"
Hyundai, Eon Era + ,New Delhi,Petrol,"38,792 KM",Blue,Yes,2013,"2,20,000"
Toyota, Fortuner 3.0 MT ,New Delhi,Diesel,"1,50,000 KM",White,Yes,2010,"9,90,000"
Volkswagen, Vento Highline Petrol AT ,New Delhi,Petrol,"60,000 KM",White,Yes,2011,"3,75,000"
Mercedes Benz, C Class 220 CDI Sport ,New Delhi,Diesel,"70,000 KM",Silver,Yes,2012,"12,50,000"
Honda, City 2014 VX(O) 1.5L i-VTEC Sunroof ,New Delhi,Petrol,"45,000 KM",Silver,Yes,2015,"8,75,000"
Maruti Suzuki, Wagon R 1.0 MC LXI CNG ,New Delhi,Petrol+Cng,"22,673 KM",White,Yes,2017,"4,15,000"
BMW, 5 Series 520i Luxury Line ,New Delhi,Petrol,"26,000 KM",Black,Yes,2016,"32,90,000"
Toyota, Innova Crysta 2.7 GX (AT) 7 Str ,New Delhi,Petrol,"49,000 KM",Grey,Yes,2016,"16,25,000"
Hyundai, Creta SX+ 1.6 U2 VGT CRDI AT ,New Delhi,Diesel,"52,000 KM",Grey,Yes,2016,"12,50,000"
Mahindra, Scorpio S10 1.99 ,New Delhi,Diesel,"42,000 KM",Black,Yes,2017,"13,00,000"
Ford, EcoSport 1.5 TDCi Titanium(O) MT Diesel ,New Delhi,Diesel,"43,500 KM",White,Yes,2015,"7,50,000"
Toyota, Corolla Altis 1.8 J ,New Delhi,Petrol,"88,000 KM",Silver,Yes,2013,"6,00,000"
BMW, X5 xDrive30d Pure Experience (7 Seater) ,New Delhi,Diesel,"60,000 KM",Black,Yes,2015,"47,11,000"
Honda, Accord 3.0 V6 AT ,New Delhi,Petrol,"84,000 KM",White,Yes,2007,"2,75,000"
Volkswagen, Vento Highline Diesel ,New Delhi,Diesel,"54,000 KM",White,Yes,2011,"3,45,000"
Audi, Q3 2.0 TDI Quattro Premium+ ,New Delhi,Diesel,"75,000 KM",Black,Yes,2012,"16,00,000"
Mercedes Benz, C Class 220 CDI Avantgarde ,New Delhi,Diesel,"4,000 KM",White,Yes,2017,"39,90,000"
BMW, 5 Series 525i Sedan ,New Delhi,Petrol,"65,000 KM",Gold,Yes,2009,"8,95,000"
Audi, A6 2.0 TDI Technology Pack ,New Delhi,Diesel,"28,000 KM",White,Yes,2015,"29,00,000"
Mercedes Benz, C Class 220 CDI Avantgarde ,New Delhi,Diesel,"29,000 KM",Black,Yes,2015,"31,00,000"
Volkswagen, Jetta Highline TDI (AT) ,New Delhi,Diesel,"76,000 KM",Blue,Yes,2014,"8,75,000"
Toyota, Fortuner 2.7 4x2 MT ,New Delhi,Diesel,"1,616 KM",White,Yes,2018,"30,50,000"
Honda, City 1.5 S MT ,New Delhi,Petrol,"57,000 KM",White,Yes,2015,"6,70,000"
Tata, Zest XT Diesel Quadrajet 1.3L ,New Delhi,Diesel,"8,700 KM",Silver,Yes,2017,"6,50,000"
Audi, A6 2.0 TDI ,New Delhi,Diesel,"39,000 KM",White,Yes,2014,"28,00,000"
Volkswagen, Polo Comfortline 1.2L (P) ,New Delhi,Petrol,"18,000 KM",Red,Yes,2014,"4,15,000"
Maruti Suzuki, Swift LXi ,New Delhi,Petrol+Cng,"65,000 KM",White,Yes,2012,"3,15,000"
Toyota, Innova 2.5 GX 7 STR BS IV ,New Delhi,Diesel,"33,000 KM",White,Yes,2014,"10,50,000"
Ford, Endeavour 3.0L 4x4 AT ,New Delhi,Diesel,"65,000 KM",White,Yes,2014,"12,00,000"
Hyundai, Verna 1.6 CRDI SX Plus AT ,New Delhi,Diesel,"66,000 KM",White,Yes,2015,"8,25,000"
Hyundai, Verna Fluidic 1.6 VTVT SX Opt AT ,New Delhi,Petrol,"39,000 KM",Silver,Yes,2015,"7,15,000"
Volvo, V40 D3 R-Design ,New Delhi,Diesel,500 KM,Black,Yes,2018,"26,00,000"
Skoda, Superb 2.0 TDI CR AT Elegance ,New Delhi,Diesel,"60,000 KM",Black,Yes,2014,"14,50,000"
Mercedes Benz, S Class 350 ,New Delhi,Diesel,"88,000 KM",Grey,Yes,2010,"21,00,000"
Chevrolet, Sail 1.2 LS ABS Petrol ,New Delhi,Petrol,"35,000 KM",Silver,Yes,2015,"3,25,000"
Honda, City VX 1.5L i-VTEC CVT ,New Delhi,Petrol,"39,000 KM",Red,Yes,2016,"9,75,000"
BMW, X1 sDrive20d xLine ,New Delhi,Diesel,"26,000 KM",White,Yes,2017,"27,50,000"
Maruti Suzuki, Swift LDi ,New Delhi,Diesel,"21,000 KM",White,Yes,2017,"5,75,000"
Nissan, Micra XV Premium Diesel ,New Delhi,Diesel,"52,000 KM",White,Yes,2012,"2,75,000"
Volkswagen, Polo Comfortline 1.2L (D) ,New Delhi,Diesel,"64,000 KM",White,Yes,2013,"3,60,000"
Mahindra, Scorpio S4 Plus 1.99 Intelli-Hybrid ,New Delhi,Diesel,"17,000 KM",White,Yes,2017,"10,50,000"
BMW, 3 Series 320d Prestige ,New Delhi,Diesel,"45,000 KM",White,Yes,2013,"15,45,000"
Honda, Jazz SV 1.2L i-VTEC ,New Delhi,Petrol,"25,000 KM",Silver,Yes,2016,"5,75,000"
Audi, A4 2.0 TDI Premium+ ,New Delhi,Diesel,"38,000 KM",Brown,Yes,2014,"18,95,000"
Tata, Safari 4x2 LX DICOR BS IV ,New Delhi,Diesel,"57,000 KM",White,Yes,2011,"3,75,000"
Audi, A6 2.0 TDI Premium+ ,New Delhi,Diesel,"19,000 KM",White,Yes,2014,"28,00,000"
Audi, A4 2.0 TDI Multitronic Premium ,New Delhi,Diesel,"14,000 KM",Silver,Yes,2014,"21,00,000"
Audi, A4 35 TDI Premium Sport + Sunroof ,New Delhi,Diesel,"75,046 KM",White,Yes,2015,"17,75,000"
Audi, A6 2.0 TDI Premium ,New Delhi,Diesel,"30,000 KM",Brown,Yes,2012,"19,00,000"
BMW, 3 Series 320Cd Convertible ,New Delhi,Diesel,"15,600 KM",White,Yes,2013,"37,00,000"
Mahindra, XUV500 W6 4 X 2 ,New Delhi,Diesel,"35,000 KM",Grey,Yes,2016,"9,75,000"
Chevrolet, Cruze LTZ ,New Delhi,Diesel,"48,332 KM",White,Yes,2011,"4,10,000"
Hyundai, Verna Fluidic 1.6 CRDI SX ,New Delhi,Diesel,"56,000 KM",White,Yes,2014,"5,75,000"
Volkswagen, Jetta Comfortline 1.9 TDI ,New Delhi,Diesel,"56,000 KM",cool silver,Yes,2009,"3,75,000"
Hyundai, Verna Fluidic 1.6 CRDi SX AT ,New Delhi,Diesel,"65,000 KM",Grey,Yes,2014,"6,35,000"
Volkswagen, Jetta 2.0L CR TDI (MT) Comfortline ,New Delhi,Diesel,"55,000 KM",Silver,Yes,2011,"2,50,000"
Toyota, Innova Crysta 2.8 ZX AT 7 Str ,New Delhi,Diesel,"26,000 KM",Silver,Yes,2017,"22,50,000"
Hyundai, Elite i20 1.4 U2 CRDI Sportz Diesel ,New Delhi,Diesel,"34,000 KM",White,Yes,2014,"5,75,000"
Honda, Civic 1.8V MT ,New Delhi,Petrol,"61,000 KM",White,Yes,2008,"2,90,000"
BMW, X5 3.0d ,New Delhi,Diesel,"56,000 KM",Bronze,Yes,2011,"18,00,000"
Honda, CR V 2.4 AT SUNROOF ,New Delhi,Petrol,"78,000 KM",White,Yes,2014,"14,00,000"
BMW, 7 Series 730Ld Sedan ,New Delhi,Diesel,"89,000 KM",Gold,Yes,2009,"15,00,000"
Audi, Q7 35 TDI Technology Pack + Sunroof ,New Delhi,Diesel,"90,000 KM",Blue,Yes,2013,"27,50,000"
Mercedes Benz, C Class C 250 d ,New Delhi,Diesel,"1,000 KM",Silver,Yes,2017,"44,00,000"
